"选手ID","国籍","队伍","位置","年龄","TI次数"
"twiSta","Albania","","Support","","0"
"DDX-","Argentina","","Mid","35","0"
"Hermit","Argentina","","Offlane","24","0"
"wij","Argentina","","Support","32","0"
"Bruno","Argentina","","Other","","0"
"Andros","Australia","1620 Kings","Support","","0"
"Calvin","Australia","","Support","","0"
"Loski","Australia","","Mid","","0"
"Matino","Australia","","Support","","0"
"RogerDodger","Australia","","Support","","0"
"SLiCKz","Australia","","Mid","","0"
"Snoopy","Australia","","Support","","1"
"Splicko","Australia","","Carry","","0"
"TEKCOR","Australia","","Offlane","","0"
"Velo","Australia, South Korea","","Offlane","31","0"
"XemistrY","Australia","","Mid","","0"
"ana","Australia","","Carry","26","3"
"balla","Australia","","Carry","","0"
"cas158","Australia","","Support","","0"
"lordboonz","Australia","","Support","","0"
"miggeL.Z","Australia, Philippines","","Mid","","0"
"r1sk","Australia","","Support","","0"
"rin","Australia","","Support","","0"
"shatan","Australia","","Support","","1"
"xMusiCa","Australia, Singapore","","Other","35","1"
"xRag","Australia, Philippines","","Support","30","0"
"Basskip","Australia, South Africa","","Other","33","0"
"Cognus","Australia","","Other","","0"
"Danelie","Australia","","Other","","0"
"GoDz","Australia","","Other","36","0"
"Godot","Australia","","Offlane","34","1"
"Poglet","Australia","","Other","","0"
"TobiWan","Australia, United Kingdom","","Other","41","0"
"kpii","Australia","Aurora Gaming","Coach","33","6"
"Tobi","Austria","","Carry5","29","3"
"Ainkrad","Belarus","Level UP","Mid","26","0"
"Astral","Belarus","","Support","28","0"
"Ergon","Belarus","","Mid","","0"
"Fishman","Belarus","Nemiga Gaming","Carry5","30","3"
"HappyDyurara","Belarus","","Support","28","0"
"Hellscream","Belarus","Virtus.pro","Support","25","0"
"Jackal","Belarus","","Carry","","0"
"Killomancer","Belarus","","Support","28","0"
"Mastery","Belarus","","Offlane","27","0"
"Moonlight","Belarus","","Carry","","0"
"OneJey","Belarus","","Support","21","0"
"Palantimos","Belarus","","Carry","29","0"
"RESPECT","Belarus","L1GA TEAM","Carry5","25","2"
"Smiling Knight","Belarus","","Carry","25","1"
"Sunlight","Belarus","","Support","30","0"
"chshrct","Belarus","","Offlane","35","0"
"dizzying","Belarus","","Carry","26","0"
"foryou","Belarus","","Mid","23","0"
"ififall","Belarus","","Offlane","24","0"
"klassnokruto","Belarus","SIBE Team","Offlane","26","0"
"kur0patbI4","Belarus","","Support","25","0"
"panto","Belarus","MOUZ","Carry4","27","1"
"pio65","Belarus","","Carry","26","0"
"so bad","Belarus","","Support","30","0"
"sohy","Belarus","SIBE Team","Support","28","0"
"wejustzik","Belarus","","Support","34","0"
"young G","Belarus","Nemiga Gaming","Mid","25","0"
"zxc","Belarus","","Carry","","0"
"Ряф^^","Belarus","","Mid","24","0"
"Fng","Belarus","","Support","30","3"
"Mila","Belarus","","Other","35","0"
"RoMaLL1Ka","Belarus","","Coach","34","0"
"j4","Belarus","Power Rangers","Coach","34","1"
"Davai","Belgium, United States","Nigma Galaxy","Offlane","26","2"
"BlackSoul","Bolivia","","Mid","27","0"
"Lissex","Bolivia","","Offlane","27","0"
"Michael-","Bolivia","","Support","27","0"
"Mingatte","Bolivia","","Support","25","0"
"Oscar","Bolivia","Amaru Gaming","Offlane","32","0"
"Tano","Bolivia","","Mid","","0"
"Wisper","Bolivia, Argentina","LGD Gaming","Mid","24","6"
"MiLAN","Bosnia and Herzegovina, Serbia","Team Spirit","Coach","31","2"
"444","Brazil","","Support","31","0"
"4dr","Brazil","","Mid","33","1"
"4nalog","Brazil","","Mid","25","4"
"Arms","Brazil","","Carry","30","0"
"Baga","Brazil","","Support","32","0"
"Costabile","Brazil","","Carry","31","2"
"Duster","Brazil","","Support","26","1"
"Gambling","Brazil","","Support","","0"
"KJ","Brazil","LGD Gaming","Carry5","26","5"
"Klotz22","Brazil","","Carry","","0"
